project_name,local_or_external,baseline_role,modality,output_type,representation,immediate_value,reference_stage,reproduction_priority,integration_cost,repo_url,paper_url,local_path,citation_key,notes
vdbfusion,local,production,replay_static_points,static_mesh,TSDF,high,S1a_core,P0,low,https://github.com/PRBonn/vdbfusion.git,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/vizzo2022sensors.pdf,估计mesh/vdbfusion,vdbfusion,S1a 第一优先；直接参考静态点融合与 mesh 导出
Voxblox,external,production,replay_static_points,static_mesh,TSDF_ESDF,high,S1a_core,P0,medium,https://github.com/ethz-asl/voxblox.git,http://helenol.github.io/publications/iros_2017_voxblox.pdf,/home/grasp/reference-projects/mesh_static_dynamic/voxblox,voxblox,S1a 第一优先；成熟体素融合与 mesh 抽取接口
ERASOR,local,production,pointcloud_sequence,pointcloud_filtering,pointcloud_filtering,high,S1a_prefilter,P0,medium,https://github.com/LimHyungTae/ERASOR.git,https://arxiv.org/abs/2103.04316,静动态点云分离/ERASOR,erasor,S1 前置净化；先剔动态再建图
CAD-Mesher,local,production,dynamic_rgbd,static_mesh,mesh,high,S1a_prefilter,P1,medium,https://github.com/Yaepiii/CAD-Mesher.git,,估计mesh/CAD-Mesher,cad_mesher,S1 边界设计参考；分离与 meshing 的接口组织
points2surf,local,production,replay_static_points,surface_refinement,implicit_surface,medium,S1b_refinement,P2,medium,https://github.com/ErlerPhilipp/points2surf.git,,估计mesh/points2surf,points2surf,S1b 条件触发；离线补面
NeuralPull,local,production,replay_static_points,surface_refinement,implicit_sdf,medium,S1b_refinement,P2,medium,https://github.com/mabaorui/NeuralPull.git,,估计mesh/NeuralPull,neuralpull,S1b 条件触发；点云到 SDF/表面拟合
point2mesh,local,production,replay_static_points,surface_refinement,mesh_optimization,medium,S1b_refinement,P2,medium,https://github.com/ranahanocka/point2mesh.git,,估计mesh/point2mesh,point2mesh,S1b 条件触发；优化式点云到 mesh 精修
PPSurf,external,production,replay_static_points,surface_refinement,implicit_surface,medium,S1b_refinement,P1,medium,https://github.com/cg-tuwien/ppsurf.git,,/home/grasp/reference-projects/mesh_static_dynamic/ppsurf,ppsurf,S1b 外部补充；只在 S1a 成立后再看
D4RT_RGBD_Oracle,local,control,raw_rgbd,dense_pointcloud_oracle,rgbd_backprojection,high,S2a_oracle,P0,low,,,D4RT/rgbd_scene_guide_zh.md,d4rt_rgbd_oracle,S2a 核心；最低成本 raw RGBD 诊断线
staticfusion,local,control,raw_rgbd,dense_mesh,TSDF,high,S2a_oracle,P0,medium,https://github.com/raluca-scona/staticfusion.git,,估计mesh/staticfusion,staticfusion,S2a 第一优先；动态场景静态背景重建基线
co-fusion,local,control,raw_rgbd,dense_mesh,object_level_fusion,medium,S2a_object_mapping,P1,high,https://github.com/martinruenz/co-fusion.git,,估计mesh/co-fusion,co_fusion,S2a 扩展；object-level fusion
maskfusion,local,control,raw_rgbd,dense_mesh,object_level_fusion,medium,S2a_object_mapping,P1,high,https://github.com/martinruenz/maskfusion.git,https://arxiv.org/abs/1804.09194,估计mesh/maskfusion,maskfusion,S2a 扩展；语义/实例辅助动态重建
mid-fusion,local,control,raw_rgbd,dense_mesh,object_level_fusion,medium,S2a_object_mapping,P1,high,https://github.com/ethz-mrl/mid-fusion.git,https://arxiv.org/pdf/1812.07976.pdf,估计mesh/mid-fusion,mid_fusion,S2a 扩展；对象级 mapping 与重识别
emfusion,local,control,raw_rgbd,dense_mesh,object_level_fusion,medium,S2a_object_mapping,P1,high,https://github.com/EmbodiedVision/emfusion.git,,估计mesh/emfusion,emfusion,S2a 扩展；动态对象跟踪与概率式融合
panoptic_mapping,local,control,raw_rgbd,dense_mesh,panoptic_mapping,medium,S2a_object_mapping,P1,high,https://github.com/ethz-asl/panoptic_mapping.git,https://arxiv.org/abs/2109.10165,估计mesh/panoptic_mapping,panoptic_mapping,S2a 扩展；对象级与语义级统一建图
GO-Surf,external,control,raw_rgbd,dense_mesh,neural_feature_grid,high,S2b_upper_bound,P1,high,https://github.com/JingwenWang95/go-surf.git,https://arxiv.org/abs/2206.14735,/home/grasp/reference-projects/mesh_static_dynamic/go-surf,go_surf,S2b 上界；离线高保真 RGBD 表面重建
BundleFusion,external,control,raw_rgbd,dense_mesh,TSDF,high,S2b_upper_bound,P1,high,https://github.com/niessner/BundleFusion.git,https://arxiv.org/pdf/1604.01093.pdf,/home/grasp/reference-projects/mesh_static_dynamic/BundleFusion,bundlefusion,S2b 控制组；经典 dense RGBD 系统
4dNDF,local,production,pointcloud_sequence,static_mesh,implicit_sdf,medium,S1_failure_reserve,P2,high,https://github.com/PRBonn/4dNDF.git,,估计mesh/4dNDF,4dndf,S1 失败后再看；时序隐式几何储备
BundleSDF,external,control,object_rgbd,object_reconstruction,implicit_sdf,medium,object_level_supplement,P2,high,https://github.com/NVlabs/BundleSDF.git,https://arxiv.org/abs/2303.14158,/home/grasp/reference-projects/mesh_static_dynamic/BundleSDF,bundlesdf,对象级补充；不与静态场景 dense mesh 主基线并列
4DTAM,external,future,dynamic_rgbd,dynamic_surface,tracking_mapping,low,future_route,P3,high,https://github.com/muskie82/4dtam.git,https://muskie82.github.io/4dtam/paper/4dtam_paper.pdf,/home/grasp/reference-projects/mesh_static_dynamic/4dtam,4dtam,future route（未来路线池）；不进入当前里程碑
GauSTAR,external,future,dynamic_multiview_rgbd,dynamic_surface,gaussian_articulation,low,future_route,P3,high,https://github.com/eth-ait/GauSTAR.git,http://arxiv.org/abs/2501.10283,/home/grasp/reference-projects/mesh_static_dynamic/GauSTAR,gaustar,future route（未来路线池）；高阶 Gaussian surface tracking
DynaSurfGS,external,future,dynamic_video,dynamic_surface,gaussian_surface,low,future_route,P3,high,https://github.com/Open3DVLab/DynaSurfGS.git,https://arxiv.org/abs/2408.13972,/home/grasp/reference-projects/mesh_static_dynamic/DynaSurfGS,dynasurfgs,future route（未来路线池）；动态 Gaussian surface
DynamicSurf,external,future,dynamic_rgbd,dynamic_surface,implicit_surface,low,future_route,P3,high,https://github.com/Mirgahney/dynsurf.git,https://arxiv.org/abs/2311.08159,/home/grasp/reference-projects/mesh_static_dynamic/dynsurf,dynsurf,future route（未来路线池）；动态表面重建
DeGauss,local,future,dynamic_video,dynamic_surface,gaussian,low,future_route,P3,high,https://github.com/BatFaceWayne/DeGauss.git,https://arxiv.org/abs/2503.13176,静动态点云分离/DeGauss,degauss,future route（未来路线池）；Gaussian 动静分解
DeSiRe-GS,local,future,dynamic_video,dynamic_surface,gaussian,low,future_route,P3,high,https://github.com/chengweialan/DeSiRe-GS.git,https://arxiv.org/abs/2411.11921,静动态点云分离/DeSiRe-GS,desire_gs,future route（未来路线池）；动态 Gaussian 重建
D-NeRF,local,future,dynamic_video,dynamic_surface,neural_field,low,future_route,P3,high,https://github.com/albertpumarola/D-NeRF.git,https://openaccess.thecvf.com/content/CVPR2021/papers/Pumarola_D-NeRF_Neural_Radiance_Fields_for_Dynamic_Scenes_CVPR_2021_paper.pdf,估计mesh/D-NeRF,d_nerf,future route（未来路线池）；经典动态 NeRF
DG-Mesh,local,future,dynamic_video,dynamic_surface,mesh_gaussian,low,future_route,P3,high,https://github.com/Isabella98Liu/DG-Mesh.git,https://arxiv.org/abs/2404.12379,估计mesh/DG-Mesh,dg_mesh,future route（未来路线池）；mesh-gaussian 混合表达
MaGS,local,future,dynamic_video,dynamic_surface,mesh_gaussian,low,future_route,P3,high,https://github.com/wcwac/MaGS.git,https://arxiv.org/abs/2406.01593,估计mesh/MaGS,mags,future route（未来路线池）；动态对象重建与模拟
d2nerf,local,future,dynamic_video,dynamic_surface,neural_field,low,future_route,P3,high,https://github.com/ChikaYan/d2nerf.git,,静动态点云分离/d2nerf,d2nerf,future route（未来路线池）；单目动静解耦
EmerNeRF,local,future,dynamic_video,dynamic_surface,neural_field,low,future_route,P3,high,https://github.com/NVlabs/EmerNeRF.git,https://arxiv.org/abs/2311.02077,静动态点云分离/EmerNeRF,emernerf,future route（未来路线池）；复杂动态场景时空表示
